report_date,weekday,workday,weekend,1st,early,middle,late,mon_or_fri_work,day_after_holiday,holiday,holiday_2,day_after_holiday_2,day_before_holiday_3,holiday_3,day_after_holiday_3,holiday_1st_or_3rd,day_before_or_after_holiday_normal_work,day_before_holiday_2,day_before_holiday_7,sunday_work,total_purchase_amt,total_redeem_amt,workday1,workday2,workday3,workday4,workday5,poor_purchase_amt,rich_purchase_amt,poor_redeem_amt,rich_redeem_amt
8/24/2014,7,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,130195484,191080151,,,,,,77025962,53169522,83507965,107572186
8/25/2014,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,309574223,312413411,1,,,,,174892527,134681696,126613410,185800001
8/26/2014,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,306945089,285478563,,1,,,,175521445,131423644,113321906,172156657
8/27/2014,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,302194801,468164147,,,1,,,174995569,127199232,122154278,346009869
8/28/2014,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,245082751,297893861,,,,1,,147033437,98049314,118928025,178965836
8/29/2014,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,267554713,273756380,,,,,1,148271752,119282961,134696443,139059937
8/30/2014,6,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,199708772,196374134,,,,,,100992574,98716198,91551614,104822520
8/31/2014,7,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,275090213,292943033,,,,,,99372165,175718048,155815787,137127246
9/1/2014,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,,,,,,,,,
9/2/2014,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
9/3/2014,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
9/4/2014,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
9/5/2014,5,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,,,,,,,,,
9/6/2014,6,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,,,,,,,,,
9/7/2014,7,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,
9/8/2014,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,,,,,,,,,
9/9/2014,2,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,
9/10/2014,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
9/11/2014,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
9/12/2014,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,,,,,,,,
9/13/2014,6,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,
9/14/2014,7,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
9/15/2014,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,,,,,,,,,
9/16/2014,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
9/17/2014,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
9/18/2014,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
9/19/2014,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,,,,,,,,
9/20/2014,6,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,
9/21/2014,7,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
9/22/2014,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,,,,,,,,,
9/23/2014,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
9/24/2014,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
9/25/2014,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
9/26/2014,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,,,,,,,,
9/27/2014,6,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,
9/28/2014,7,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,
9/29/2014,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
9/30/2014,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,,,,,,,,,
